var-1,var-2,var-3,var-4,var-5,Common,English Translated
sakhtgeer,sakhtger,,,,sakhtger,hardships
krsakty,krsktey,krskty,karsaktay,,krsakty,can do
wsawasa,waswasa,wasvasa,,,wsawasa,doubt
saisatdano,syasatdano,siasatdano,siesatdano,,saisatdano,politicians
jutay,jootay,jotay,juty,,jotay,whips
lain,layn,lein,len,,lain,take
gandagi,gandgi,gandage,gandge,,gandagi,dirt
phenkdo,,,,,phenkdo,throw
napne,naapne,,,,napne,measure
raahi,raahe,,,,raahi,traveler
un,,,,,un,them
Jalandhar,jalindar,jalandar,,,jalindar,supporter
kamiyabiyan,kamyabiyan,kamyabya,kamyebiya,kamyaabia,kamiyabiyan,successes
irtkab,irtikaab,irtekaam,,,irtkab,adoption
girvi,girvee,,,,girvi,mortgage
wastay,wasty,,,,wastay,for
Raham,rahm,Rehm,,,Raham,mercy
gumnami,gumname,gumnaami,gumnaame,,gumnami,anonymity
humsab,hamsub,humsub,,,humsab,all of us
neshan,nishaan,nishan,,,nishan,mark
Sarhaden,sarhadain,,,,sarhadain,borders
raseeli,,,,,raseeli,tempting
Imdaad,imdadd,imdad,imadad,,imdad,assistance
dekhrahy,dikharhy,dikharahy,daikhrahay,,daikhrahay,they are seeing
ghanimat,ganimat,ghanemat,,,ghanimat,treasures
bant,baant,,,,bant,share
haen,haien,hain,hein,hian,hain,are
aehmiyat,ahmeyat,ahamiyat,ahmiyat,ahmyat,ahmeyat,importance
dakhtay,dakhty,dehktay,dekhty,dekhtay,dakhtay,looking
habshi,habshe,,,,habshi,slave
sonp,soonp,,,,sonp,put
kurbani,kurbaani,kurbane,kurbaane,Qurbani,kurbani,sacrifice
karali,karaale,karale,,,karali,royal
taaluq,taluk,taluq,talluq,talluk,taaluq,relation
jhalak,jhuluk,,,,jhalak,glimpse
nichawar,nechawar,nichawer,,,nichawar,humble
Khalil,khaleel,,,,Khalil,friend
satheon,Sathio,sathiyon,sathiyoun,sathyon,satheon,companions
Hameed,hamed,hamid,,,Hameed,praised
Hashmi,haashme,hashme,,,Hashmi,respected
seekha,sekha,sikha,,,seekha,learned
neghrani,nigrani,nighrani,nighrane,,neghrani,surveillance
qawali,qawwali,,,,qawali,musical performance
dastawezi,Dastavezi,destavezi,dstaveezi,dstaweezi,dastawezi,documents
jider,jidher,jidhar,jedhar,,jidhar,wherever
Zalzala,zulzala,,,,Zalzala,Earthquake
thehrao,thahrao,thaharao,,,thehrao,pause
aham,ahem,ahm,,,aham,crucial
jinhain,jinein,jinhe,jinhein,jinhen,jinhain,who
adakari,,,,,adakari,performance
gadaar,gadar,gaddar,ghaddar,,gaddar,traitor
likho,lkho,,,,likho,write
jagata,jagaata,jugata,jagatta,,jagata,waking
Taajir,tajir,,,,tajir,merchant
tasbeehat,tasbehat,tasbehaat,tasbihat,,tasbeehat,praises
paar,par,parr,pr,,par,on
pharne,,,,,pharne,to sweep
Soofa,sofa,,,,sofa,couch
Kashmir,kashmeer,kashmer,,,Kashmir,Kashmir
pehnoon,pahno,pahnu,pehnu,,pahno,wear
paidel,paidl,,,,paidel,produced
Hazaar,Hazar,huzaar,hzr,hzar,Hazar,thousand
ulta,olta,,,,ulta,upside down
lab,lub,labb,,,lab,lips
aboori,Aburi,,,,aboori,barrier
ghuzer,guzeer,guzir,guzr,,guzeer,patience
frmana,furmana,farmana,farmna,,farmana,to order
sukhana,,,,,sukhana,to soothe
badzani,budzani,badzane,,,badzani,disobedience
ikhlas,ikhlaas,ikhlass,,,ikhlaas,sincerity
khilaye,khlaye,khilayi,,,khilaye,to plant
Heer,,,,,Heer,Heer
jahilo,Jahilon,jahiloo,jaahilon,jaahiloun,jahilo,ignorant
kismain,kismen,qismain,,,qismain,kinds
adalati,adalti,,,,adalti,judicial
Andheray,andhery,,,,Andheray,darkness
ijtema,ijtemaa,ejtima,ijtimaa,,ijtema,gathering
dhulna,dhullna,,,,dhulna,to enter
kunwari,kunware,kunwri,,,kunwari,virgin
yummy,youmi,,,,youmi,daily
arz,araz,,,,araz,request
pheno,,,,,pheno,to wear
pohanchani,pohanchne,pohchane,pohnchane,pohnchne,pohanchani,to reach
sitaron,,,,,sitaron,stars
peecha,pecha,,,,pecha,pursuit
mashgala,mashigala,mashghala,,,mashgala,task
ujle,,,,,ujle,bright
sargarmiyon,sargarmiyoun,,,,sargarmiyon,busy
thame,thami,thaami,,,thami,holding
jurm,jurram,jurim,,,jurm,crime
bandhey,bhandhy,bhandhay,,,bhandhy,captivated
andaza,andaaza,,,,andaza,estimation
nokrio,naukerio,,,,nokrio,employees
nain,,,,,nain,eyes
Mastani,mastanni,,,,Mastani,passionate
khudi,khude,,,,khudi,self
sa,,,,,sa,with
Bachan,bachaan,,,,Bachan,spoken
wardi,warddi,,,,wardi,clothes
farmaye,farmayee,furmae,frmae,,farmaye,offer
Ahal,,,,,Ahal,feelings
rizaq,rizk,rizq,,,rizaq,words
phelo,,,,,phelo,respect
machal,mchal,muchal,,,machal,spread
kamiz,kameez,kamees,Qamees,qameez,kameez,excitement
peshkash,peshkush,,,,peshkash,shirt
hasas,Hassas,,,,hasas,presentation
alfaaz,alfax,alfaz,,,alfaaz,feeling
maan,man,,,,maan,words
dea,dia,dya,deya,,deya,mother
sarak,sharak,,,,sarak,given
sanbhalti,sanbhalte,,,,sanbhalti,road
gaiki,gaaike,,,,gaiki,holding
uthate,,,,,uthate,singing
Kaif,kayf,,,,Kaif,getting up
Kundi,kunde,,,,Kundi,delight
shareek,sharik,sharek,,,shareek,latch
kaheingi,Kahenge,kahainge,kahaingi,kahangi,kaheingi,participant
zakhmiyon,zakhmyon,,,,zakhmiyon,wounded
darja,derja,drja,,,darja,degree
tareeen,tareen,,,,tareen,extreme
pakeza,paakeza,pakiza,,,pakeza,pure
phonk,,,,,phonk,throw
rangon,rangoun,,,,rangon,colors
atemad,aitmaad,aetimaad,,,aitmaad,trust
haqeeqat,haqeeqt,haqeqat,haqiqat,Haqiqiat,haqiqat,reality
Kharidnay,Khridnay,khareednay,kharednay,,Kharidnay,purchasing
keemay,kemay,keemy,,,kemay,deeds
ghisa,ghisaa,,,,ghisa,grind
Waseh,waseeh,,,,Waseh,clarity
rokne,rokine,,,,rokne,stopping
itahdiyo,itahadiyon,itahdayoun,itehadiyoun,itehadeyoun,itahadiyon,coalitions
maarti,marti,maarte,,,maarti,hit
inhe,inhi,enhe,,,inhe,them
naghmaat,naghmat,nagimaat,magimat,,naghmat,melodies
Rab,rub,,,,Rab,God
tumahara,tumhara,tumharra,tumhra,tmhara,tumhara,yours
napleyta,napleta,,,,napleta,blueprint
Farzandan,farzandn,,,,Farzandan,offspring
utaro,otaro,,,,utaro,bring down
ghanto,ghanton,ghantoun,,,ghanto,hours
jinke,jinki,jnke,,,jinke,whose
auhda,uhida,uhdah,ohida,uhda,uhida,commitment
waalo,waalon,walo,waloun,walon,walo,of them
manwaya,munwaya,mnwaya,,,manwaya,persuaded
Baaten,batan,batain,batay,batyn,batain,words
baresagheer,Baresaghir,,,,Baresaghir,juvenile
suragh,,,,,suragh,clue
paka,pakka,pka,pkka,,paka,ripened
gahriyan,,,,,gahriyan,depths
rahay,rahy,,,,rahay,remained
zair,,,,,zair,beneath
karnama,kaarnama,karnma,qarnama,,karnama,feat
girdopesh,,,,,girdopesh,front
amomi,umoomi,uamomi,amoome,,amomi,generally
hangama,hungama,hangaama,hungaama,hngama,hangama,uproar
waqifan,wakifaan,waqfaan,,,waqifan,familiar
pasandi,psandi,pasndi,passandi,pusandi,pasandi,aware
rehne,rahine,rahni,,,rahine,preference
jeeto,jeto,,,,jeeto,dwell
rona,roona,ronaa,,,rona,win
kaate,kaati,kate,kati,kante,kati,crying
tarqiati,tarkyaati,tarkyati,,,tarqiati,cut
jaddojahad,jaddojehad,jadojahad,jadojhid,jaddojahd,jadojahad,developmental
lehnga,lahinga,lehinga,lhenga,,lahinga,struggle
armaan,arman,,,,armaan,battlefield
shubahat,shubaat,,,,shubahat,desires
Tinda,tindha,,,,Tinda,doubt
zana,zuna,zanna,,,zana,reproach
ruko,,,,,ruko,stop
nanhi,nunhi,,,,nanhi,little
Tabassum,tabasum,,,,Tabassum,smile
ngah,nigah,,,,nigah,glance
alhamdolillah,alhamdhulilah,alhamdulellah,alhamdulilah,alhamdulillah,alhamdhulilah,praise be to Allah
insahAllah,inshaAllah,inshAllah,,,insallah,God willing
daikhain,daikhein,dakhian,daikhay,dekhey,daikhain,see
marz,murz,mrz,,,marz,disease
Griftariyan,giriftaaryan,griftarayan,griftaryan,grifftaryan,Griftariyan,detainees
haty,huty,hty,,,haty,killer
Chupa,chupaa,chuppa,,,Chupa,hide
wazartein,wizartein,wazaratian,,,wazartein,concessions
nikl,nkal,nkl,nikal,,nikal,out
shagird,shagrd,,,,shagird,student
Jahangir,Jahanjir,jahangeer,,,Jahangir,Jahangir
Sarhad,,,,,Sarhad,border
ruka,,,,,ruka,stopped
hamaray,hamarey,hamary,humaray,humarey,hamaray,our
kamzori,kamroori,kamzoore,kamzoori,,kamzori,weakness
nasab,nasb,,,,nasab,lineage
babar,babbar,baber,,,babar,Babar
raazdar,razdar,raazdaar,,,raazdar,confidential
taras,tarus,,,,taras,pity
uthne,,,,,uthne,waking up
taarifein,tarefain,taarefain,tareefain,tarifeen,tarefain,compliments
Parayshan,pareeshan,pareshan,preshan,parishan,pareshan,troubled
tanazaat,tanazat,tanazeaat,tanaziyat,tanazeyat,tanazat,conflicts
nikaltay,,,,,nikaltay,come out
Matlab,mathlab,matlb,matlub,matleb,Matlab,meaning
parhta,parhtaa,,,,parhta,reads
tawon,tawun,tawwun,taawon,,tawon,monsters
Jazbay,jazbe,jazbey,jazby,,Jazbay,emotions
Khaimon,khaimo,khamon,,,Khaimon,tents
ise,isi,ese,isse,issi,ise,this
darta,drta,derta,dertaa,dartaa,darta,afraid
sunate,sunati,,,,sunate,listen
naaam,naam,nam,nm,,naam,name
hojao,houjao,,,,hojao,become
fard,farid,fared,,,fard,individual
Hawai,Hawaii,hawae,,,Hawai,air
tars,turs,,,,tars,fear
wabastagi,wabistagi,wabistegi,wabastage,wabistage,wabastagi,association
wesa,wisa,,,,wesa,like this
sangeen,sangen,,,,sangeen,serious
geo,jeo,,,,jeo,live
jehez,jahaiz,jaheiz,jhez,,jahaiz,dowry
umat,Ummat,,,,Ummat,community
Sufi,soofi,sofi,,,soofi,mystic
namanzoor,namanzor,namnzor,,,namanzoor,unacceptable
Gulraiz,gulraez,,,,Gulraiz,Gulraiz
gungunana,gungunaana,gungunanaa,,,gungunana,humming
Roopa,ropa,rupa,,,Roopa,Roopa
nazar,nazr,nzr,,,nazar,gaze
Tassurat,,,,,Tassurat,Images
huvy,huway,huwy,huy,hwy,huwy,have been
daydejye,dydijie,dey dejiye,dy dejiye,,daydejye,give
nishani,nishane,nshani,,,nishani,symbol
ana,anna,,,,ana,arrival
shamy,shaamain,shamen,,,shamy,evening
aya,aaaya,aaya,,,aya,came
chaly,chly,chalyy,chaley,,chaly,let's go
yahodiyon,yahodyun,,,,yahodiyon,Jews
kalum,,,,,kalum,pencil
istakhray,istekhary,istikharay,istakhary,istkhary,istakhary,consultation
chaheeta,chaheta,,,,chaheeta,desire
sahafiuo,sahafiyon,sahafyon,,,sahafiyon,journalists
rahonga,rahounga,rahuga,,,rahuga,will remain
kabeena,kabina,kabena,kabinaa,,kabina,cabin
Islamiat,Islamiyat,islaamait,,,Islamiat,Islamic studies
Khaiber,khaibir,,,,Khaiber,Khaiber
Ghunghro,ghungru,gunghru,,,gunghru,anklet
karu,karun,krun,kru,karoun,karun,I do
lagae,lagai,lagaae,Legae,lgai,lagae,apply
jaahil,jahil,jaahl,jaahel,,jahil,ignorant
Khusro,khusroun,,,,khusroun,things
shalwar,shalwaar,shlwar,,,shalwar,trousers
jaraha,jarahaa,,,,jaraha,walking
tandrusti,tandurusti,tundrusti,,,tandrusti,health
Mahboob,mehboob,mhboob,mahbob,muhbob,Mahboob,Beloved
Haif,heif,haef,,,Haif,danger
nazmon,nuzmo,nuzimmo,,,nazmon,poems
shaiqeen,shayakeen,shayaqeen,shaiyqeen,,shayaqeen,believers
taqribaat,takrebaat,takrebat,,,taqribaat,events
konse,konsi,kounse,kounsi,,konsi,which
qayam,kayam,qiyam,,,qayam,establishment
waari,ware,wari,waare,,waari,long
paseena,pasena,,,,pasena,sweating
Uthega,,,,,Uthega,Will rise
sallamtiyoun,salamation,salamatayoun,,,salamatayoun,safety
bandhan,bundhan,bndhan,,,bandhan,bond
majmoo,majmou,majmoun,,,majmoo,collection
paayedar,paidaar,paydar,,,paydar,durable
khola,,,,,khola,opened
ase,asi,aesi,aesii,esi,asi,such
ghuzaresh,ghuzarish,guzaarish,guzaresh,guzarish,guzarish,request
sandal,,,,,sandal,sandalwood
sawaab,Sawab,swab,,,sawaab,reward
Arafat,arafaat,,,,Arafat,Arafat
sarparasti,sarsarati,,,,sarparasti,obedience
tameer,tamer,tamir,,,tameer,construction
gumshuda,gumshudah,gumshudaa,,,gumshuda,lost
ineqaad,ineqad,eneqaad,iniqaad,,ineqaad,submission
Nazmein,Nazmin,nazimain,muzimain,,Nazmein,Poems
gustakhi,ghustakhi,gustakhe,,,ghustakhi,insult
Ulti,olti,,,,Ulti,Reverse
rafaqat,rufaqar,rafaqt,,,rafaqat,kindness
nikaley,nikaly,,,,nikaly,taken out
Barbaad,barbad,brbad,,,barbad,ruined
parho,parhoo,,,,parho,read
kol,koul,quol,qol,,quol,saying
chipka,chpka,chipkaa,chippka,,chipka,stick
shadia,shadian,shadiyan,shadyan,,shadia,weddings
laakh,lakh,,,,lakh,"lakh (100,000)"
gadhe,gadhi,,,,gadhe,donkeys
adaegi,adaeygi,adaigi,adaiygi,adaige,adaigi,behavior
Imam,imaam,emaam,,,Imam,Leader
parhaye,parhay,parhy,,,parhaye,educate
hazoor,hazur,huzoor,Huzur,huzor,huzoor,presence
khafa,khafaa,khaffaa,,,khafa,angry
hojate,hojati,hojti,,,hojati,become
hoskti,hosakte,,,,hoskti,may be
Thappa,thappaa,thuppa,,,Thappa,Stamp
talaaq,talaq,,,,talaq,divorce
naqad,nakad,,,,naqad,cash
halaat,halat,hallat,haalat,halt,halat,situation
kany,kaanay,kaany,,,kany,girl
tajveez,tajweej,Tajweez,tajwiz,tajvez,tajveez,recommendation
sawairay,sawaray,,,,sawairay,outings
azeat,,,,,azeat,dignity
Shoba,shobaa,,,,Shoba,Department
Maghrib,magreb,magrib,,,Maghrib,Maghrib (evening)
wahe,wahi,wahien,wohi,whi,wahi,revelation
bakhshnay,bakhshny,bkhshny,bakshney,bkhshney,bakhshnay,forgiveness
oranay,urnay,,,,urnay,flying
kharcha,kharicha,kharacha,,,kharcha,expense
Nabvi,Nabwi,nbwi,,,Nabvi,Prophetic
quwwaton,quwwato,koowato,,,quwwato,strength
rani,raani,,,,rani,queen
horahay,horhay,Horhy,,,horahay,are happening
kamay,kamain,kamaien,,,kamay,earn
dekhaya,dikhaya,,,,dikhaya,showed
honn,hun,hu,,,hun,now
wafaq,wafaque,wafaqu,,,wafaq,agreement
Khabre,khabri,khabree,,,khabri,informative
tadfeen,tadfen,,,,tadfeen,burial
pheli,,,,,pheli,first
ratt,rutt,,,,ratt,cramming
nazara,nizara,nzara,,,nazara,scene
sudharne,,,,,sudharne,improvement
Khuwaar,khowar,khowaar,khuwar,,khowar,spoiled
wabastagiyan,wabistagyan,wabistegiyan,wabastegian,wabastagain,wabastagiyan,connections
hte,hate,hati,hti,,hati,elephant
tamga,tamgha,tamghaa,,,tamgha,medal
baaijh,bhej,bhaij,baijh,,baijh,send
natijatan,natejatan,natijtan,natijaatan,natejaatan,natijatan,consequently
bacha,bachaa,,,,bacha,child
Khudai,khudae,khodai,khudaae,,Khudai,God
jald,jalid,jaled,jld,juld,jald,quickly
sale,saale,sali,saliii,saali,saale,sister-in-law
ishary,isharay,,,,isharay,signals
pohnchai,,,,,pohnchai,sending
napasand,napasnd,,,,napasand,dislike
zimaydariyan,Zimedaria,zimedariya,zimedariyan,zimmedariyan,zimaydariyan,responsibilities
photi,footi,,,,photi,death
ghalib,galib,,,,galib,superior
jang,jung,Jhang,,,jang,war
qadre,qadri,kadri,,,qadre,value
majhe,mujhy,mjhy,mujy,,mujhy,me
naachne,nachnay,nachny,nachne,nachney,nachnay,dancing
jahannam,jahannum,Jahanum,juhnum,jahanm,Jahanum,Hell
charh,charih,,,,charh,rise
maeshiyat,maeshut,maeshyat,,,maeshiyat,economy
saraab,sharab,sharaab,,,sharab,alcohol
sakthy,sktay,saktey,sakty,,sktay,can
taraaaakkiii,Taraki,taraqee,taraqi,tarqi,taraqi,progress
lantin,lanty,lanatain,lanaten,,lanatain,curses
zyaada,zyada,ziada,zeyada,zaidah,zyada,more
khul,,,,,khul,open
maslehat,maslihat,,,,maslehat,advantage
keyon,kyun,kyon,kyn,kyo,kyun,why
maal,mal,,,,mal,wealth
Pehchana,pahchana,,,,Pehchana,recognized
raju,rajo,,,,rajo,opinion
unkay,unkey,unky,onkay,,unkay,their
hairat,hairet,herat,hayrat,heraat,hairat,wonder
afsar,afser,,,,afsar,officer
mangwaayi,mangwaeen,mangwaein.,mangwai,mangwaye,mangwaayi,ordered
Alahidgi,alahidge,,,,alahidge,paradise
Khoshgwar,khooshgawar,khushgwaar,khushgwar,,Khoshgwar,happiness
Rangat,rungat,runghat,,,Rangat,color
yaadgar,yadgaar,yadgar,,,yaadgar,memorable
sotelan,,,,,sotelan,mattresses
daite,dety,daity,detay,datey,dety,giving
Ghori,goore,goori,,,Ghori,watch
karle,karli,krle,krli,,karli,done
aamada,aamadah,amadah,amadaa,,amadah,prepared
rojhan,rujhan,rujhaan,,,rujhan,inclination
ura,uraa,urra,,,ura,flying
takrao,takraoo,,,,takrao,collision
zaheni,zahine,zahne,zehni,zahini,zaheni,mental
dokanon,dokano,dukanon,,,dukanon,shops
kamsin,qasim,qasem,,,qasim,Qasim
kunda,kooda,,,,kunda,lock
lafaz,lafz,lafuz,lafiz,lfz,lafz,word
gandu,gaandu,,,,gandu,abusive term
chokidar,chokidaar,chokiidar,chokedar,,chokidar,watchman
Chornay,chorny,chorney,choornay,,Chornay,leaving
sachai,sachie,schae,,,sachai,truth
kharja,kharija,khareja,kharrija,,kharija,exclusion
ghusne,ghusni,,,,ghusni,entering
wallah,,,,,wallah,by God
Gawahi,Gawhi,gawaahi,gavahi,,Gawhi,expression of wonder
khareeda,kharida,kharidha,,,khareeda,purchase
chameleon,chamylion,chameliyon,,,chameliyon,jasmine flowers
buri,burii,brii,bure,,buri,bad
alambardar,alamberdar,amaldaar,,,alambardar,responsible
pohinchte,pohanchti,,,,pohinchte,approach
pamali,,,,,pamali,blaming
peasha,paisha,pesha,,,paisha,blame
shaayr,shayar,shayr,shaiyr,,shayar,poet
aqwaam,aqwam,,,,aqwam,nations
ubharte,obharite,,,,ubharte,rising
silai,slai,silae,,,silai,sewing
ieman,eman,iman,imaan,emaan,eman,faith
wlay,walay,waly,waley,wly,walay,persons
inho,inhon,inhoon,enho,,inho,these
Kutia,kutiya,kutya,,,kutiya,barking
akhttha,ikahttha,,,,ikahttha,collection
jaiso,jayso,jaeso,jyso,jaso,jaiso,like
badbakht,badbkht,badbakhat,bdbakhet,,badbakht,unfortunately
danty,dantey,dantay,,,dantay,scolding
dalain,dalen,dalaen,dalien,,dalain,add
loota,louta,lota,,,louta,pot
faiziyab,faizyaab,faezyaad,faezyab,,faizyaab,return
Tawaqu,tawako,tawaque,,,Tawaqu,expectation
thapar,Thappar,thapper,thaper,,thapar,slap
sambhalne,,,,,sambhalne,to manage
Ishafaq,ishfaaq,ishfaque,,,ishfaque,compassion
tarfa,tarifa,,,,tarfa,sided
maron,maaron,marun,maarun,,maron,killing
pal,pul,pl,,,pal,time
farangi,firangi,,,,firangi,moment
jaza,jazza,jazaa,jza,,jaza,foreigner
Pata,pta,,,,Pata,address
darjaat,derjat,darjat,derjaat,,darjat,stage
daagh,dagh,daghh,,,daagh,spot
gharor,garoor,ghurur,ghror,garur,garoor,stain
supurd,,,,,supurd,pride
es,is,,,,is,this
ahtaram,ahteram,aihteraam,ahtram,aihteram,ahteram,Respect
chalana,chalaana,chlana,chlanaa,,chalana,To operate
intakhab,intikhaab,intekhab,intikab,Intikhab,intakhab,Selection
tor,torh,,,,tor,Break
laya,laaya,,,,laya,Brought
izat,izzat,izt,izatt,izzet,izzat,Honor
masail,,,,,masail,Issues
dakhon,dekhon,dekhun,dekhoon,daikhon,dekhon,To see
jalyn,jalayain,,,,jalayain,Flames
herani,heraani,heraane,harani,hairane,herani,Surprise
phirti,,,,,phirti,Wandering
payega,paega,,,,payega,Will get
Alzam,ilzaam,ilzam,Illzam,,ilzam,Blame
sanam,,,,,sanam,Idol
Manzoori,manzori,manzuri,menzori,mnzori,Manzoori,Approval
rahygii,rahaygi,rahyge,,,rahyge,Will remain
daita,deta,detta,daeta,daitaa,deta,Gives
makanon,makano,makaano,,,makanon,Places
jaiyza,Jaiza,jayza,,,jaiyza,Outcome
khayega,khaayega,khayga,,,khayega,Will eat
gira,girra,,,,gira,Fell
khlte,khilti,,,,khilti,Blooms
tarha,tarhaa,terha,,,tarha,Type
Mashalla,Mashallah,mashalah,,,Mashallah,By the grace of Allah
ao,aao,aoo,,,ao,Come
bante,banti,bunti,,,banti,Appropriate
gine,gini,gene,,,gine,Count
Naak,nak,,,,Naak,Nose
halki,halke,,,,halke,Light
bajane,bajani,,,,bajane,To play (instrument)
kawish,kaawish,kawsh,,,kawish,Effort
Nabod,naabud,naabod,,,Nabod,Unaware
nani,naani,,,,naani,Grandmother
la,laa,laaa,,,la,No
isreal,,,,,isreal,Israel
de,dy,dey,,,dy,Give
sahe,sahi,sahy,sai,shi,sahi,Correct
aaqaeon,,,,,aaqaeon,Lords
tadbeer,tadber,,,,tadbeer,Strategy
onka,unka,,,,unka,Their
kise,Kisi,ksi,kese,,kise,Someone
u,youn,yn,,,yn,This
jeetne,jetne,jetni,jitne,jeetine,jeetne,To win
maqbol,maqbool,maqboul,maqol,,maqbool,Acceptable
sanwarne,,,,,sanwarne,To decorate
khushai,kushai,,,,kushai,Comfort
suron,suroun,,,,suron,Tunes
khatabat,khitabat,khitaabat,,,khitabat,Speeches
mafiayaa,mafyan,mafiya,moafya,maffya,mafiya,Mafia
ijlaason,ijlason,ijlasoun,,,ijlason,Excuses
gharibana,garebana,gharebana,gareebana,,garebana,Generous
abu,abbu,,,,abu,Father
gulokar,gulookar,glukaar,glukar,,gulokar,Gardener
bahter,behtar,behtr,bahtr,bahtir,bahter,Better
paiso,paison,paisoun,peso,peson,paiso,Money
ajab,ajub,,,,ajab,Strange
khandano,khandanon,,,,khandano,Families
nakhush,Nakush,,,,Nakush,Lost
aapke,aapki,apki,apke,,apki,Yours
jhatka,jhatkaa,,,,jhatka,Shock
deikhlo,dekhlo ,daikhlo,,,daikhlo,Look
zarre,zarri,zari,zare,,zarre,Particle
Nishana,,,,,Nishana,Target
qabaz,kabiz,Qabiz,,,qabaz,Constipation
kaho,kahoo,Kho,,,kaho,Say
badobast,bndobast,bndobst,bandobast,,bndobast,Arrangement
khaty,khaaty,khatai,,,khaty,Caps
khaaaty,khaatay,,,,khaatay,Eats
aadaab,adab,adaab,,,adaab,Greetings
Ghohar,gohar,,,,Ghohar,Jewel
hlqa,halqa,halka,hulka,hulqa,halka,Ring
aangan,angan,angen,,,angan,Courtyard
Hajion,hajjeon,haajyo,hajjiyon,,Hajion,Pilgrims
lete,letee,leti,layti,layte,lete,Take
jiggar,jigar,jiger,jigger,,jigar,Liver (figuratively means dear one)
Imaamon,imamon,imamoun,,,imamon,Leaders
Mashriq,mashrique,mashrik,,,Mashriq,East
bagal,bagul,bagel,,,bagal,Side
Kinza,kinzaa,,,,Kinza,Treasure
aglay,agley,agly,aagly,,aglay,Next
Namazon,nimazo,namazo,,,Namazon,Prayers
silsaly,silseley,silsilay,silsly,,silsilay,Series
walwale,walwalay,,,,walwalay,Noisy
nangy,nungay,,,,nangy,Naked
Thaila,thayla,,,,Thaila,Bag
ujrat,ojrat,,,,ujrat,Wages
farzand,furzand,,,,farzand,Child
fauji,fouji,faune,Foji,,fauji,Soldier
lazawaal,lazawal,lazwal,,,lazawaal,Experienced
jagha,jaghaa,jga,jgh,jigah,jagha,Place
phisal,,,,,phisal,Slip
maghrabi,Maghribi,magrabi,,,maghrabi,Western
asma,asmaa,asmaan,asman,aasman,asman,Sky
pazeerai,pazirai,pazerae,pazirae,,pazeerai,Compliance
salook,salok,saluk,saloq,salooq,salooq,Manner
taqreron,taqriron,takreeron,,,taqreron,Debates
hunar,huner,hunnar,hunner,,hunar,Skill
samjhna,samjna,smjhna,,,samjhna,To understand
chamcha,chamchaa,chumcha,chumchaa,,chamcha,Spoon
socho,soucho,soncho,,,socho,Think
makhsos,makhsoos,mekhsoos,mekhsos,,makhsoos,Specific
badtamezz,bdtmez,badtameez,batameez,,batameez,Rude
pkky,pakkay,pakay,,,pakay,Cooked
salah,salaah,salahh,,,salah,Prayer
sharmandagi,sharmandege,sharamndigi,,,sharmandagi,Embarrassment
ezazi,aizazi,,,,aizazi,Decoration
Shalimar,shalemar,,,,Shalimar,Shalimar
inkari,inkaare,,,,inkari,Denial
Lesaniyat,lisaaniyat,lisaniyat,,,Lesaniyat,Language
pohnchaya,,,,,pohnchaya,Delivered
Gehwara,gihwara,gehwaara,,,Gehwara,Area
janatein,jannatain,,,,janatein,Gardens
jinkay,jinky,jinkey,,,jinkay,Whose
jaana,jana,Janaa,janna,,jana,To go
majmey,majmoey,majmooy,Majmooey,majmouy,majmoey,Collection
Farishte,farishty,,,,farishty,Angels
aafiat,afat,afet,afut,,afat,Calamity
walid,waalid,,,,walid,Father
palra,palira,,,,palra,Saddle
safarat,saffarat,sifarat,,,safarat,Embassy
qadiyanio,qadiyon,Qadyano,qadion,,qadiyanio,Residents of Qadian
sahare,saharay,sahary,,,sahary,Assistance
aakhirkar,akhirkar,akherkar,,,akhirkar,Finally
nimaindagi,nimaindigi,nimandigi,numaendagi,numaindagi,nimaindigi,Representation
kasoor,kasor,kasur,qasoor,qasor,kasoor,Fault
ragarny,rugirnay,,,,ragarny,Rubbing
thori,thore,,,,thori,A little
Imakan,Imkaan,Imkan,emkan,,Imkan,Possibility
navaze,navazi,,,,navaze,Forgiveness
raaey,Rai,raaye,raye,ray,ray,Opinion
Phaty,,,,,Phaty,Torn
shukr,shukar,,,,shukar,Gratitude
naqsha,naqisha,,,,naqsha,Map
parna,purna,,,,parna,To fall
chomte,chunte,choomti,choomte,,choomti,Kisses
utna,,,,,utna,That much
Udaasi,udasi,,,,Udaasi,Sadness
sagar,Saghar,sager,,,sagar,Ocean
khushkhabri,khushkhabre,,,,khushkhabri,Good news
bachi,bachiii,bchi,bache,,bachi,Girl
werna,wernaa,wirnaa,wirna,,werna,Otherwise
amali,amale,,,,amali,Practical
latka,lutika,latika,,,latka,Hang
Khaloon,khaloun,khaalon,,,Khaloon,Maternal uncle
harkaton,harkatoun,harkato,,,harkato,Actions
qismati,kismati,,,,kismati,Lucky
rewayati,riwayti,rewayeti,,,rewayati,Traditional
Rakho,rkho,,,,Rakho,Keep
khaif,khef,khaiyf,,,khaif,Fearful
sabiqa,sabqa,sabka,sbka,,sabiqa,Former
hargiz,hargez,hargz,,,hargiz,Never
soda,souda,,,,soda,Deal
ibadatgahon,ibadathahun,ibadatgahoon,ibadutgahon,ibadutgahun,ibadatgahon,Places of worship
Wasuli,wasule,wasoli,wasole,,Wasuli,Extortion
fitny,fitney,fitnay,,,fitny,Disasters
dewar,devar,deewar,dewaar,devaar,dewar,Wall
